target,scope,month,variant,K,radius,scatter,density_between,S_Dbw,status,zero_density_clusters,zero_over_zero_pairs,positive_over_zero_pairs
temporal_leiden_alpha70,temporal,2023-04-01,printed_outside_indicator,6,0.148463344365195,0.2721880126720169,1.2640671613790142,1.536255174051031,finite,1,0,0
temporal_louvain_alpha70,temporal,2023-05-01,round14_strict,8,0.11641025238981789,0.22453159585976873,,,undefined,4,6,0
temporal_louvain_alpha70,temporal,2023-05-01,round14_zero_zero,8,0.11641025238981789,0.22453159585976873,0.207563025210084,0.43209462106985275,finite,4,6,0
temporal_louvain_alpha70,temporal,2023-05-01,round14_floor_one,8,0.11641025238981789,0.22453159585976873,0.207563025210084,0.43209462106985275,finite,4,6,0
temporal_louvain_alpha70,temporal,2023-05-01,rms_radius_strict,8,0.32925791545791094,0.22453159585976873,0.2867907714029469,0.5113223672627156,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-05-01,rms_radius_floor_one,8,0.32925791545791094,0.22453159585976873,0.2867907714029469,0.5113223672627156,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-05-01,printed_outside_indicator,8,0.11641025238981789,0.22453159585976873,1.4788497238350273,1.703381319694796,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-05-01,round14_strict,7,0.1272484082893491,0.23475117334601206,,,undefined,2,1,0
temporal_leiden_alpha70,temporal,2023-05-01,round14_zero_zero,7,0.1272484082893491,0.23475117334601206,0.06408268733850128,0.29883386068451334,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-05-01,round14_floor_one,7,0.1272484082893491,0.23475117334601206,0.06408268733850128,0.29883386068451334,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-05-01,rms_radius_strict,7,0.3366676430624277,0.23475117334601206,0.37669757222602757,0.6114487455720397,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-05-01,rms_radius_floor_one,7,0.3366676430624277,0.23475117334601206,0.37669757222602757,0.6114487455720397,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-05-01,printed_outside_indicator,7,0.1272484082893491,0.23475117334601206,,,undefined,2,0,1
temporal_louvain_alpha70,temporal,2023-06-01,round14_strict,9,0.10273245712603214,0.19994007561361646,,,undefined,5,10,0
temporal_louvain_alpha70,temporal,2023-06-01,round14_zero_zero,9,0.10273245712603214,0.19994007561361646,0.13791763791763792,0.3378577135312544,finite,5,10,0
temporal_louvain_alpha70,temporal,2023-06-01,round14_floor_one,9,0.10273245712603214,0.19994007561361646,0.13791763791763792,0.3378577135312544,finite,5,10,0
temporal_louvain_alpha70,temporal,2023-06-01,rms_radius_strict,9,0.30819737137809644,0.19994007561361646,0.32592261265983974,0.5258626882734562,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-06-01,rms_radius_floor_one,9,0.30819737137809644,0.19994007561361646,0.32592261265983974,0.5258626882734562,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-06-01,printed_outside_indicator,9,0.10273245712603214,0.19994007561361646,1.3679260392285695,1.567866114842186,finite,1,0,0
temporal_leiden_alpha70,temporal,2023-06-01,round14_strict,8,0.11648409310705453,0.22848896164255592,,,undefined,2,1,0
temporal_leiden_alpha70,temporal,2023-06-01,round14_zero_zero,8,0.11648409310705453,0.22848896164255592,0.0682110682110682,0.2967000298536241,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-06-01,round14_floor_one,8,0.11648409310705453,0.22848896164255592,0.0682110682110682,0.2967000298536241,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-06-01,rms_radius_strict,8,0.32946676854545376,0.22848896164255592,0.47131400288695124,0.6998029645295072,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-06-01,rms_radius_floor_one,8,0.32946676854545376,0.22848896164255592,0.47131400288695124,0.6998029645295072,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-06-01,printed_outside_indicator,8,0.11648409310705453,0.22848896164255592,,,undefined,2,0,1
temporal_louvain_alpha70,temporal,2023-07-01,round14_strict,9,0.10375681109308749,0.2058776670231411,,,undefined,5,10,0
temporal_louvain_alpha70,temporal,2023-07-01,round14_zero_zero,9,0.10375681109308749,0.2058776670231411,0.13376068376068376,0.33963835078382487,finite,5,10,0
temporal_louvain_alpha70,temporal,2023-07-01,round14_floor_one,9,0.10375681109308749,0.2058776670231411,0.13376068376068376,0.33963835078382487,finite,5,10,0
temporal_louvain_alpha70,temporal,2023-07-01,rms_radius_strict,9,0.31127043327926246,0.2058776670231411,0.30142324645584445,0.5073009134789855,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-07-01,rms_radius_floor_one,9,0.31127043327926246,0.2058776670231411,0.30142324645584445,0.5073009134789855,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-07-01,printed_outside_indicator,9,0.10375681109308749,0.2058776670231411,1.362555696457025,1.568433363480166,finite,1,0,0
temporal_leiden_alpha70,temporal,2023-07-01,round14_strict,8,0.11642726921695984,0.23042675684239147,,,undefined,2,1,0
temporal_leiden_alpha70,temporal,2023-07-01,round14_zero_zero,8,0.11642726921695984,0.23042675684239147,0.02023809523809524,0.2506648520804867,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-07-01,round14_floor_one,8,0.11642726921695984,0.23042675684239147,0.02023809523809524,0.2506648520804867,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-07-01,rms_radius_strict,8,0.32930604631337634,0.23042675684239147,0.3850491544954077,0.6154759113377992,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-07-01,rms_radius_floor_one,8,0.32930604631337634,0.23042675684239147,0.3850491544954077,0.6154759113377992,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-07-01,printed_outside_indicator,8,0.11642726921695984,0.23042675684239147,,,undefined,2,0,1
temporal_louvain_alpha70,temporal,2023-08-01,round14_strict,10,0.09388607152835585,0.18902174136787117,,,undefined,5,9,1
