panel_index,municipality,reference_profile,full_consensus_class,without_perturbation_class_matches_full,without_perturbation_DG_side_matches_full,without_alpha_class_matches_full,without_alpha_DG_side_matches_full,without_gamma_class_matches_full,without_gamma_DG_side_matches_full,without_algorithm_class_matches_full,without_algorithm_DG_side_matches_full,lofo_class_match_count,lofo_all_class_match,lofo_DG_side_match_count,lofo_all_DG_side_match,lofo_entropy_range,lofo_min_margin
456,Краснопартизанский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
457,Красносельский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08604204917991454,0.3085765217788225
458,Краснослободский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.09073539920440554,0.3666421564726692
459,Краснотуранский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08347780037209052,0.3713528707595649
460,Красночетайский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.1008167780491932,0.31863217623812595
461,Красночикойский муниципальный район,F,G,True,True,True,True,True,True,True,True,4,True,4,True,0.147331397426955,0.05359275354413806
462,Краснощёковский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
463,Кривошеинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
464,Кромской муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.11328730210103966,0.1762579279050176
465,Крутинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
466,Крутихинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
467,Кстовский муниципальный округ,D,D,True,True,True,True,True,True,True,True,4,True,4,True,0.18645733715197338,0.26452931401933494
468,Кугарчинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08796720150107512,0.36811785499342586
469,Куженерский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
470,Кузоватовский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
471,Куйтунский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.0872007105852417,0.3587154368666722
472,Кукморский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.09627796074523148,0.35423044224126576
