panel_index,municipality,reference_profile,consensus_class,second_class,affinity_share_B,affinity_share_E,B_E_balance,B_E_transition_direction,family_votes_B_over_E,family_votes_E_over_B,lofo_class_match_count,anchor_consensus_class,affinity_entropy,affinity_margin
1186,внутригородская территория города федерального значения муниципальный округ Лосиноостровский,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1187,внутригородская территория города федерального значения муниципальный округ Люблино,E,E,B,0.32578758640834343,0.6207387601682595,-0.3116143304691894,E-leaning,1,3,4,E,0.4607934781791344,0.29495117375991603
1188,внутригородская территория города федерального значения муниципальный округ Малая Охта,E,B,E,0.5191077841607395,0.43975745495777796,0.08275441215901012,B-leaning,4,0,4,B,0.46105357222337534,0.07935032920296159
1189,внутригородская территория города федерального значения муниципальный округ Марфино,B,B,E,0.6407722204093538,0.3245022470382859,0.32764771475551707,B-leaning,4,0,4,B,0.42255368812116484,0.3162699733710679
1190,внутригородская территория города федерального значения муниципальный округ Марьина роща,B,B,E,0.6452180586783532,0.3200649421501972,0.33684744914088505,B-leaning,4,0,4,B,0.4209705747608935,0.32515311652815604
1191,внутригородская территория города федерального значения муниципальный округ Марьино,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1192,внутригородская территория города федерального значения муниципальный округ Матушкино,E,E,B,0.31910320187814506,0.6098392857835633,-0.31297533245276127,E-leaning,1,3,4,E,0.49002879408180167,0.2907360839054182
1193,внутригородская территория города федерального значения муниципальный округ Метрогородок,E,E,B,0.3165327437971853,0.6117171876645392,-0.3180010403044404,E-leaning,1,3,4,E,0.49187227530202576,0.2951844438673539
1194,внутригородская территория города федерального значения муниципальный округ Мещанский,B,B,E,0.6468346709265598,0.3182921346219576,0.3404138548590817,B-leaning,4,0,4,B,0.4206902401057257,0.3285425363046022
1195,внутригородская территория города федерального значения муниципальный округ Митино,B,B,E,0.5738394179035335,0.38918037367825314,0.19174999915834837,B-leaning,3,1,4,B,0.4450881358437121,0.1846590442252804
1196,внутригородская территория города федерального значения муниципальный округ Можайский,B,B,E,0.6384831386596854,0.3267393714093754,0.32297606406631046,B-leaning,4,0,4,B,0.4234464475714647,0.31174376725031
1197,внутригородская территория города федерального значения муниципальный округ Молжаниновский,E,E,B,0.30354673942618465,0.6041894744090379,-0.3312005518790811,E-leaning,1,3,4,E,0.5198074247914846,0.30064273498285327
1199,внутригородская территория города федерального значения муниципальный округ Морской,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1200,внутригородская территория города федерального значения муниципальный округ Москворечье-Сабурово,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1201,внутригородская территория города федерального значения муниципальный округ Московская застава,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1202,внутригородская территория города федерального значения муниципальный округ Нагатино-Садовники,B,B,E,0.6407722204093538,0.3245022470382859,0.32764771475551707,B-leaning,4,0,4,B,0.42255368812116484,0.3162699733710679
1203,внутригородская территория города федерального значения муниципальный округ Нагатинский затон,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1204,внутригородская территория города федерального значения муниципальный округ Нагорный,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1205,внутригородская территория города федерального значения муниципальный округ Нарвский округ,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1206,внутригородская территория города федерального значения муниципальный округ Народный,E,E,B,0.3270426837512482,0.6229154649540969,-0.31145875384729355,E-leaning,1,3,4,E,0.4551872276570794,0.2958727812028487
1207,внутригородская территория города федерального значения муниципальный округ Невская застава,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1208,внутригородская территория города федерального значения муниципальный округ Невский округ,E,B,E,0.5191077841607395,0.43975745495777796,0.08275441215901012,B-leaning,4,0,4,B,0.46105357222337534,0.07935032920296159
1209,внутригородская территория города федерального значения муниципальный округ Некрасовка,E,E,B,0.30354673942618465,0.6041894744090379,-0.3312005518790811,E-leaning,1,3,4,E,0.5198074247914846,0.30064273498285327
1210,внутригородская территория города федерального значения муниципальный округ Нижегородский,E,E,B,0.33793187436439415,0.6130528421621527,-0.28930114545124613,E-leaning,1,3,4,E,0.45656691763475993,0.2751209677977586
1211,внутригородская территория города федерального значения муниципальный округ Ново-Переделкино,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1212,внутригородская территория города федерального значения муниципальный округ Новогиреево,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1213,внутригородская территория города федерального значения муниципальный округ Новоизмайловское,E,B,E,0.5191077841607395,0.43975745495777796,0.08275441215901012,B-leaning,4,0,4,B,0.46105357222337534,0.07935032920296159
1214,внутригородская территория города федерального значения муниципальный округ Новокосино,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1215,внутригородская территория города федерального значения муниципальный округ Обручевский,B,B,E,0.6468346709265598,0.3182921346219576,0.3404138548590817,B-leaning,4,0,4,B,0.4206902401057257,0.3285425363046022
1216,внутригородская территория города федерального значения муниципальный округ Обуховский,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1217,внутригородская территория города федерального значения муниципальный округ Озеро Долгое,E,B,E,0.5191077841607395,0.43975745495777796,0.08275441215901012,B-leaning,4,0,4,B,0.46105357222337534,0.07935032920296159
1218,внутригородская территория города федерального значения муниципальный округ Оккервиль,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1219,внутригородская территория города федерального значения муниципальный округ Орехово-Борисово Северное,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1220,внутригородская территория города федерального значения муниципальный округ Орехово-Борисово Южное,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1221,внутригородская территория города федерального значения муниципальный округ Останкинский,B,B,E,0.6452180586783532,0.3200649421501972,0.33684744914088505,B-leaning,4,0,4,B,0.4209705747608935,0.32515311652815604
1222,внутригородская территория города федерального значения муниципальный округ Остров Декабристов,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1223,внутригородская территория города федерального значения муниципальный округ Отрадное,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1224,внутригородская территория города федерального значения муниципальный округ Очаково-Матвеевское,B,B,E,0.6407722204093538,0.3245022470382859,0.32764771475551707,B-leaning,4,0,4,B,0.42255368812116484,0.3162699733710679
1225,внутригородская территория города федерального значения муниципальный округ Перово,E,E,B,0.32578758640834343,0.6207387601682595,-0.3116143304691894,E-leaning,1,3,4,E,0.4607934781791344,0.29495117375991603
1226,внутригородская территория города федерального значения муниципальный округ Печатники,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1227,внутригородская территория города федерального значения муниципальный округ Пискаревка,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1228,внутригородская территория города федерального значения муниципальный округ Покровское-Стрешнево,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1229,внутригородская территория города федерального значения муниципальный округ Полюстрово,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1230,внутригородская территория города федерального значения муниципальный округ Пороховые,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1231,внутригородская территория города федерального значения муниципальный округ Посадский,B,B,E,0.6468346709265598,0.3182921346219576,0.3404138548590817,B-leaning,4,0,4,B,0.4206902401057257,0.3285425363046022
1232,внутригородская территория города федерального значения муниципальный округ Правобережный,E,B,E,0.5191077841607395,0.43975745495777796,0.08275441215901012,B-leaning,4,0,4,B,0.46105357222337534,0.07935032920296159
1233,внутригородская территория города федерального значения муниципальный округ Преображенское,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1234,внутригородская территория города федерального значения муниципальный округ Пресненский,B,B,E,0.6468346709265598,0.3182921346219576,0.3404138548590817,B-leaning,4,0,4,B,0.4206902401057257,0.3285425363046022
1235,внутригородская территория города федерального значения муниципальный округ Прометей,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1236,внутригородская территория города федерального значения муниципальный округ Проспект Вернадского,B,B,E,0.6468346709265598,0.3182921346219576,0.3404138548590817,B-leaning,4,0,4,B,0.4206902401057257,0.3285425363046022
1237,внутригородская территория города федерального значения муниципальный округ Пулковский меридиан,E,B,E,0.5191077841607395,0.43975745495777796,0.08275441215901012,B-leaning,4,0,4,B,0.46105357222337534,0.07935032920296159
1238,внутригородская территория города федерального значения муниципальный округ Раменки,B,B,E,0.6468346709265598,0.3182921346219576,0.3404138548590817,B-leaning,4,0,4,B,0.4206902401057257,0.3285425363046022
1239,внутригородская территория города федерального значения муниципальный округ Ржевка,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
