panel_index,municipality,consensus_class,second_class,affinity_share_D,affinity_share_F,affinity_share_G,D_G_balance,D_G_transition_direction,family_votes_D_over_G,family_votes_G_over_D,lofo_class_match_count,lofo_DG_side_match_count,anchor_consensus_class,affinity_entropy,affinity_margin
943,Усольский муниципальный район,G,F,0.10349168833324242,0.35821259486025353,0.39747409608079765,-0.5868313104285453,G-leaning,0,4,3,4,G,0.7044116016173531,0.039261501220544115
944,Усть-Абаканский муниципальный район,D,F,0.4336966510562904,0.40060772398777833,0.08880214228311172,0.6600867086579928,D-leaning,3,1,2,4,F,0.637198266936838,0.033088927068512075
968,Учалинский муниципальный район,D,F,0.5231638563255819,0.35969427627739287,0.028696384342369263,0.8960012618135483,D-leaning,4,0,4,4,D,0.5782393422525687,0.16346958004818907
970,Ферзиковский муниципальный район,D,F,0.48374946610379516,0.39281220752561447,0.02537141356507415,0.9003324570715872,D-leaning,4,0,4,4,F,0.5915416256187422,0.09093725857818069
977,Ханкайский муниципальный округ,G,F,0.026643479367102752,0.3185649421934512,0.47937981028470167,-0.8946946517602532,G-leaning,0,4,4,4,G,0.6446149979455964,0.16081486809125045
981,Хасанский муниципальный округ,G,F,0.0364963828537043,0.3091547617361818,0.3453685402511056,-0.8088518706721475,G-leaning,0,4,2,4,G,0.7590028495381251,0.0362137785149238
985,Хилокский муниципальный район,F,G,0.2020469899561612,0.3339416921107313,0.3115845330842784,-0.21326094333095097,G-leaning,1,3,3,3,F,0.7679553133480428,0.02235715902645291
1002,Чебоксарский муниципальный округ,D,F,0.42108385122481334,0.36259949976018,0.12799728781070144,0.533776417687432,D-leaning,3,1,3,4,D,0.6778328670494751,0.05848435146463332
1003,Чебулинский муниципальный округ,G,F,0.02999579605978005,0.3221951984837654,0.48412348796091353,-0.8833119200462719,G-leaning,0,4,4,4,G,0.6318071561392127,0.16192828947714816
1007,Чемальский муниципальный район,G,F,0.030013086858905233,0.3246886182733127,0.48131633947075325,-0.8826076290021473,G-leaning,0,4,4,4,G,0.6329667900894578,0.15662772119744056
1012,Череповецкий муниципальный район,D,F,0.5184011217784323,0.36403630361665307,0.028884575149984798,0.894444253478224,D-leaning,4,0,4,4,D,0.5796654139303201,0.15436481816177927
1014,Черниговский муниципальный округ,F,G,0.11523707909656264,0.34921921414326024,0.2551070257032901,-0.3776756394767461,G-leaning,1,3,4,3,F,0.8101815434336339,0.09411218843997016
1017,Чернышевский муниципальный район,G,F,0.026907789416172775,0.3237953368895347,0.4764523955350678,-0.8930873349914266,G-leaning,0,4,4,4,G,0.6421046216275165,0.15265705864553308
1021,Чистопольский муниципальный район,F,G,0.19695988295912303,0.3359328701262554,0.3150470533445925,-0.23063588012686953,G-leaning,1,3,2,3,F,0.7660035212774696,0.020885816781662903
1022,Читинский муниципальный район,D,F,0.3886926162925916,0.3868760439830732,0.12812843499851428,0.5041671205984047,D-leaning,3,1,3,4,F,0.687399314175342,0.0018165723095184272
1023,Чишминский муниципальный район,D,F,0.5231638563255819,0.35969427627739287,0.028696384342369263,0.8960012618135483,D-leaning,4,0,4,4,D,0.5782393422525687,0.16346958004818907
1025,Чугуевский муниципальный округ,G,F,0.030011437620291986,0.32525141200094726,0.47775895065119917,-0.8817913044419374,G-leaning,0,4,4,4,G,0.637961360359647,0.1525075386502519
1045,Шелопугинский муниципальный район,A,F,0.008873528059261003,0.23866565167194592,0.05134053063890281,-0.7052672332306477,mixed,1,2,4,4,A,0.4568746218201352,0.4408864288053081
1051,Шилкинский муниципальный район,G,F,0.02656143590659706,0.3157116593644746,0.485319157604382,-0.8962201878980695,G-leaning,0,4,4,4,G,0.6394951675665748,0.1696074982399074
1053,Шимановский муниципальный округ,F,A,0.038642855350603626,0.3170996426401389,0.270276293491221,-0.7498189704621394,G-leaning,1,3,1,4,A,0.7624453550824671,0.045160944292117366
1057,Шкотовский муниципальный округ,F,G,0.1916004645387815,0.36973651168070326,0.2481149157419994,-0.12852507266662022,G-leaning,1,3,4,3,F,0.7940972234071514,0.12162159593870386
