ARI_all_supra,NMI_all_supra,ARI_Dec2024,NMI_Dec2024,K_supra,K_Dec2024,mean_switches,median_switches,share_zero_switches,share_le2_switches,mean_adjacent_ARI,mean_adjacent_NMI,largest_community_n_Dec,largest_community_share_Dec,mode,seed,louvain_seed,gamma,K,MQ,Q_resolution_0_5,AVI,AVU,Dec_K,Dec_MQ,Dec_Q_resolution_0_5,Dec_AVI,Dec_AVU
0.5479547022936494,0.681986987292684,0.8188894227011555,0.7888797852958724,12,9,1.784138655462185,2.0,0.17384453781512604,0.7878151260504201,0.8381242107882206,0.8680222817803055,933,0.4900210084033613,graph_only,18,0,0.5,,,,,,,,,,
0.39145574918221004,0.564741429994793,0.6786940325283681,0.6261892424249011,11,7,2.6475840336134455,3.0,0.0021008403361344537,0.3897058823529412,0.8117675443185616,0.8229862237909763,988,0.5189075630252101,graph_only,19,0,0.5,,,,,,,,,,
0.5078148066972101,0.6304744264036851,0.021709072278727697,0.06480584464328733,13,10,2.0315126050420167,2.0,0.009978991596638655,0.821953781512605,0.8123840177933971,0.8496369331029825,1868,0.9810924369747899,collapse_fixed,24,0,0.5,13.0,0.7822164673725351,0.8436850075929136,0.885212028690889,0.43133467391348496,10.0,0.001295388968820794,0.49920701830888925,0.2103242012048449,0.2
0.4662806459692404,0.6017738581439055,0.01955300916655931,0.06372564320952484,12,9,2.034138655462185,2.0,0.005777310924369748,0.7862394957983193,0.8070638765010499,0.836283323509038,1874,0.9842436974789915,collapse_fixed,39,0,0.5,12.0,0.7779626481109777,0.8397013892961169,0.8898338355869765,0.395872231247961,9.0,0.0010167697158145065,0.4993894844472666,0.2850552540486875,0.2222222222222222
0.5688699266484374,0.6752610910334176,0.7047769940063069,0.7921104565231675,12,9,1.584033613445378,1.0,0.15913865546218486,0.7993697478991597,0.8618571888287978,0.878845737632479,787,0.41334033613445376,combined,0,0,0.5,,,,,,,,,,
0.5279288367544793,0.5928302001963187,0.7778993506618662,0.7241157747816637,13,8,2.3718487394957983,2.0,0.0,0.7547268907563025,0.8417886977313769,0.8438816672263298,1007,0.5288865546218487,combined,1,1,0.5,,,,,,,,,,
0.47249777720639735,0.6177016206418511,0.4446128215330966,0.650164492206792,13,11,1.414390756302521,1.0,0.17384453781512604,0.8282563025210085,0.8755010071579051,0.8835276496283437,638,0.33508403361344535,combined,2,2,0.5,,,,,,,,,,
0.46283013257116057,0.5815870564226249,0.6723129000646803,0.6781351627354104,12,8,2.5409663865546217,2.0,0.004201680672268907,0.6113445378151261,0.8372840578124198,0.8457859705007066,1132,0.5945378151260504,combined,3,3,0.5,,,,,,,,,,
0.2996489198270645,0.4914327452291461,0.67786827634039,0.6758142913608383,15,9,3.340861344537815,3.0,0.0,0.026260504201680673,0.733461127579164,0.7599171407552474,1123,0.5898109243697479,combined,4,4,0.5,,,,,,,,,,
0.530214666672176,0.5937606067407588,0.8271540675576458,0.7782616644531869,15,9,2.4096638655462184,2.0,0.0005252100840336134,0.7011554621848739,0.8395589472963547,0.845801515283389,938,0.49264705882352944,combined,5,5,0.5,,,,,,,,,,
0.5766352395524658,0.639549179402659,0.8474367722210399,0.7860843658039304,10,8,1.3581932773109244,1.0,0.15808823529411764,0.8881302521008403,0.8830089773168676,0.8865657913572199,944,0.4957983193277311,combined,6,6,0.5,,,,,,,,,,
0.4728571288034984,0.6367755938767998,0.7720521190389014,0.7756241669987575,12,9,1.762079831932773,2.0,0.20220588235294118,0.7211134453781513,0.8403401010521473,0.8729343180898548,880,0.46218487394957986,combined,7,7,0.5,,,,,,,,,,
0.4728900334050765,0.6279953044433164,0.6270827496836099,0.7161506088287314,10,9,1.5535714285714286,2.0,0.20063025210084034,0.8440126050420168,0.8608730602110564,0.8787681124679783,1007,0.5288865546218487,combined,8,8,0.5,,,,,,,,,,
0.6026862087942435,0.6803262401586309,0.848392483085165,0.8208601764059659,12,8,1.584033613445378,2.0,0.2027310924369748,0.8560924369747899,0.8612389733619914,0.8816017627899752,936,0.49159663865546216,combined,9,9,0.5,,,,,,,,,,
0.5097345000759614,0.60204481754668,0.7837939143542038,0.7848901050491044,14,11,2.249474789915966,2.0,0.008403361344537815,0.6822478991596639,0.8366406058649649,0.850749067254288,1060,0.5567226890756303,combined,10,10,0.5,,,,,,,,,,
0.5196349599590475,0.5905129919840943,0.6904824177041757,0.7119668459334351,14,11,1.789390756302521,2.0,0.007352941176470588,0.8277310924369747,0.8648316380566363,0.8627980748934497,1160,0.6092436974789915,combined,11,11,0.5,,,,,,,,,,
0.4195297185504736,0.526375837469669,0.594358260211063,0.5889120085849879,13,9,2.8592436974789917,2.0,0.0021008403361344537,0.5336134453781513,0.8032243406774411,0.8024897699653136,1188,0.6239495798319328,combined,12,12,0.5,,,,,,,,,,
0.5278045815054652,0.6492746832332784,0.758017011830043,0.7299714716323042,10,8,1.4915966386554622,2.0,0.2599789915966387,0.8602941176470589,0.8549317876065728,0.8798681526337948,1083,0.5688025210084033,combined,13,13,0.5,,,,,,,,,,
0.6068374988415791,0.64394297744072,0.7908241367552135,0.731609197219563,13,10,1.4464285714285714,1.0,0.08455882352941177,0.8807773109243697,0.87693324415482,0.880885434379762,997,0.5236344537815126,combined,14,14,0.5,,,,,,,,,,
