month,ARI,NMI,K,mode,seed,louvain_seed,gamma,adjacent_ARI,adjacent_NMI,same_label_share
2024-07-01,0.8331022641297521,0.7481238627440242,9,combined,5,5,0.5,0.9639927663567007,0.9413864587103669,0.9842436974789915
2024-08-01,0.8208004399708347,0.7506533335928894,9,combined,5,5,0.5,0.9548934576467728,0.9369460417461375,0.9816176470588235
2024-09-01,0.8335985709372815,0.7653745867129716,9,combined,5,5,0.5,0.9252552349910731,0.9016470565232358,0.9695378151260504
2024-10-01,0.825221729701696,0.768238807409929,9,combined,5,5,0.5,0.9618279929653942,0.9397179786275681,0.9842436974789915
2024-11-01,0.8271540675576458,0.7782616644531869,9,combined,5,5,0.5,0.9598262304681918,0.9346176715654072,0.9826680672268907
2024-12-01,0.8271540675576458,0.7782616644531869,9,combined,5,5,0.5,1.0,1.0,1.0
2023-01-01,0.5909888413229223,0.6970895264398501,7,combined,6,6,0.5,,,
2023-02-01,0.5909888413229223,0.6970895264398501,7,combined,6,6,0.5,1.0,1.0,1.0
2023-03-01,0.5880403443732193,0.6847586386284727,7,combined,6,6,0.5,0.9489578393891351,0.9216039729880899,0.9805672268907563
2023-04-01,0.6082544326643314,0.6898745304122734,7,combined,6,6,0.5,0.9564867370838206,0.9280162939967537,0.9821428571428571
2023-05-01,0.6162248955343802,0.6811559968441909,7,combined,6,6,0.5,0.9506895713367253,0.9172205040474147,0.9747899159663865
2023-06-01,0.6026598843204238,0.6760941200709659,7,combined,6,6,0.5,0.9453847938971843,0.9071117509611156,0.9705882352941176
2023-07-01,0.5518066879103022,0.6455218251919862,7,combined,6,6,0.5,0.9301762999542162,0.9050173503434177,0.9637605042016807
2023-08-01,0.4922224170370258,0.6183395026365317,10,combined,6,6,0.5,0.8817140778281872,0.8881695560590863,0.9438025210084033
2023-09-01,0.48585323250263956,0.6302567353543759,10,combined,6,6,0.5,0.8316679769676133,0.8521234697603508,0.9238445378151261
2023-10-01,0.487025714412778,0.6455373411785806,10,combined,6,6,0.5,0.7757735793010399,0.8127938082858228,0.8823529411764706
2023-11-01,0.420768945007321,0.6251979956147006,10,combined,6,6,0.5,0.7038921676066047,0.8042435121100439,0.8476890756302521
2023-12-01,0.37413546917960905,0.601853919960355,10,combined,6,6,0.5,0.721094875119139,0.8181659173648245,0.8387605042016807
2024-01-01,0.36366302364711817,0.59041593812825,10,combined,6,6,0.5,0.7584708253916544,0.8224055392813435,0.8550420168067226
2024-02-01,0.38228097877079265,0.605525689695562,10,combined,6,6,0.5,0.8420752336820723,0.8739687162892794,0.9159663865546218
2024-03-01,0.4612390576403415,0.6324217045132821,9,combined,6,6,0.5,0.8670847073570543,0.87795759025335,0.9464285714285714
2024-04-01,0.5603501002278468,0.6608106891777478,8,combined,6,6,0.5,0.8388998774956765,0.8572335220857709,0.9338235294117647
2024-05-01,0.6041616716663097,0.6634590262330272,8,combined,6,6,0.5,0.830541097871293,0.8452484795358908,0.9233193277310925
2024-06-01,0.6714255581087654,0.6753652605778011,8,combined,6,6,0.5,0.8427728420565704,0.850557201865171,0.9233193277310925
2024-07-01,0.7368046571758717,0.7021766748288679,8,combined,6,6,0.5,0.9076894136921364,0.893636178332813,0.9527310924369747
2024-08-01,0.7884546582465417,0.7419917829094846,8,combined,6,6,0.5,0.9325794457148716,0.8902000643480744,0.9611344537815126
2024-09-01,0.8247263876563152,0.7649114294032046,8,combined,6,6,0.5,0.9408554946045224,0.8959507329747669,0.9679621848739496
2024-10-01,0.8341285770396318,0.7692201248224358,8,combined,6,6,0.5,0.9633333169806235,0.9263817955355659,0.9810924369747899
