mode,scope,group,metric,n,mean,median,SD,min,max,q05,q10,q25,q75,q90,q95
combined,profiles,C,retention,50,0.7186206896551723,0.6551724137931034,0.14163910837420254,0.5862068965517241,1.0,0.5862068965517241,0.5862068965517241,0.6206896551724138,0.8879310344827587,0.9310344827586207,0.95
combined,profiles,C,precision,50,0.8393131386968362,1.0,0.2952948808176715,0.01072961373390558,1.0,0.028470772442588728,0.4628897944720058,0.7940340909090908,1.0,1.0,1.0
combined,profiles,C,Jaccard,50,0.5899290715372217,0.6206896551724138,0.2058905483851674,0.010678056593699947,0.9,0.028059439661811774,0.4373873873873875,0.5862068965517241,0.6811140408701385,0.7267857142857143,0.8289215686274509
combined,profiles,C,within_pair_coassignment,50,0.5821674876847291,0.49014778325123154,0.18659574937326798,0.4064039408866995,1.0,0.4088669950738916,0.41576354679802957,0.4482758620689655,0.7869458128078818,0.8669950738916257,0.9022167487684727
combined,profiles,D,retention,50,0.9758169934640523,0.9869281045751634,0.034236623935199086,0.8235294117647058,1.0,0.9049019607843137,0.9215686274509803,0.9754901960784313,0.9934640522875817,1.0,1.0
combined,profiles,D,precision,50,0.5116609246776777,0.45812079213246437,0.24388422401222878,0.08098028769312733,0.9931972789115646,0.24565323465490685,0.29767675258659987,0.3285882607545627,0.6514505451713396,0.941,0.9603020058598152
combined,profiles,D,Jaccard,50,0.4993048541706833,0.44805559893799785,0.2288642636074262,0.08093716719914804,0.948051948051948,0.24527763314978726,0.29602918820310126,0.32644294664894624,0.6251275380063259,0.8632870370370371,0.93999032492139
combined,profiles,D,within_pair_coassignment,50,0.9544805641554867,0.9740282077743379,0.06032595067306644,0.7074303405572755,1.0,0.8242733058135535,0.8542569659442725,0.9518403852769178,0.9869281045751634,1.0,1.0
combined,profiles,E,retention,50,0.8726881720430107,0.9086021505376344,0.14475817530710086,0.5645161290322581,1.0,0.6147849462365591,0.6236559139784946,0.7473118279569892,0.9946236559139785,1.0,1.0
combined,profiles,E,precision,50,0.7628877042254889,0.7512790240062968,0.22643574927512153,0.09909429941395845,1.0,0.50874943000456,0.5344177057930336,0.6347824179680646,0.9759116377330761,0.984810266622414,0.9914007466892083
combined,profiles,E,Jaccard,50,0.6834200830393755,0.6645545314900154,0.21636858041189072,0.09909429941395845,0.9738219895287958,0.3737583395107487,0.4073943661971831,0.6180619486557981,0.8782826912642431,0.9020234864160375,0.9594357026587086
combined,profiles,E,within_pair_coassignment,50,0.8153513513513514,0.8320836965998256,0.18427836926650584,0.5010171461784365,1.0,0.5175443185120604,0.5280441732054635,0.6063353676256902,0.989247311827957,1.0,1.0
combined,profiles,F,retention,50,0.7028134556574925,0.6437308868501529,0.19700039213401413,0.3547400611620795,0.9877675840978594,0.4859327217125382,0.4923547400611621,0.5160550458715596,0.9174311926605504,0.9547400611620795,0.9711009174311926
combined,profiles,F,precision,50,0.4767619695373152,0.5050724637681159,0.23066185082678348,0.12121212121212122,0.9587301587301588,0.15420559534733874,0.16486403830694488,0.2644278618427115,0.6114456300813008,0.8247199785050967,0.8809295199182838
combined,profiles,F,Jaccard,50,0.4009165523969318,0.366831119544592,0.2111971575172315,0.09931506849315068,0.888235294117647,0.13627560418146226,0.14756200725904398,0.21573602100710534,0.5475370771884374,0.707416682269238,0.772816679779701
combined,profiles,F,within_pair_coassignment,50,0.6272861672388886,0.5138271326991989,0.2035968956448561,0.28430986285435544,0.975685259188383,0.3862863736140035,0.40631132624153393,0.47802105026172115,0.8455892009530779,0.9124781899026285,0.9434869889870734
combined,profiles,G,retention,50,0.9063419689119172,0.9751295336787564,0.1456993419792234,0.5098445595854922,0.9989637305699481,0.5389119170984455,0.6229015544041451,0.8772020725388601,0.9968911917098445,0.9989637305699481,0.9989637305699481
combined,profiles,G,precision,50,0.8930402061871401,0.8987430342776255,0.10899811892163386,0.512519978689398,1.0,0.7416478370947105,0.7828001678469387,0.8463353527074149,0.9840783723762447,0.9942945432071836,0.9963782344481682
combined,profiles,G,Jaccard,50,0.8127641568695849,0.8515453670793476,0.14524645333136563,0.4314410480349345,0.964984552008239,0.4853454627471619,0.5310354885755956,0.8109359646365533,0.9019868796946603,0.9467480992827425,0.9577741436827119
combined,profiles,G,within_pair_coassignment,50,0.8684965063530626,0.9511437662588953,0.17219514064932667,0.45490723023670804,0.9979274611398964,0.4987031582568314,0.4999335669597747,0.7820921032829532,0.9937904456818524,0.9979274611398964,0.9979274611398964
graph_only,profiles,A,retention,20,0.9060283687943261,0.9432624113475178,0.10738300659380652,0.5886524822695035,0.9929078014184397,0.649290780141844,0.8056737588652483,0.9042553191489362,0.9734042553191489,0.9794326241134752,0.9861702127659574
graph_only,profiles,A,precision,20,0.7831541077041211,0.8923597025016903,0.2600055745747421,0.2028985507246377,0.9925925925925926,0.21466910850347057,0.2291020108962706,0.7379844224924013,0.970258999122037,0.9833273229955524,0.986154452324665
graph_only,profiles,A,Jaccard,20,0.7151332765003126,0.8106576967336461,0.2483025245343866,0.20260492040520983,0.972027972027972,0.21370167459168904,0.22653061224489796,0.664732227338674,0.9,0.9168827534744893,0.9450802718408352
graph_only,profiles,A,within_pair_coassignment,20,0.8461144883485311,0.8910334346504559,0.13847458594657824,0.506484295845998,0.9858156028368794,0.5121631205673759,0.668936170212766,0.8222897669706181,0.9475937183383992,0.9592502532928064,0.972532928064843
graph_only,profiles,B,retention,20,0.9994897959183675,1.0,0.002281702017856931,0.9897959183673469,1.0,0.9994897959183674,1.0,1.0,1.0,1.0,1.0
graph_only,profiles,B,precision,20,0.6411959064107636,0.6482202447163515,0.2875629562571397,0.1686746987951807,1.0,0.3219017484077725,0.3381869444153181,0.3951960267229255,0.8596491228070176,0.990909090909091,1.0
graph_only,profiles,B,Jaccard,20,0.6406857023291309,0.6482202447163515,0.2869011389432003,0.1686746987951807,1.0,0.3219017484077725,0.3381869444153181,0.3951960267229255,0.8596491228070176,0.98989898989899,0.9904040404040405
graph_only,profiles,B,within_pair_coassignment,20,0.9989795918367348,1.0,0.004563404035713862,0.9795918367346939,1.0,0.9989795918367347,1.0,1.0,1.0,1.0,1.0
graph_only,profiles,C,retention,20,0.7293103448275862,0.6206896551724138,0.16145770351521493,0.5862068965517241,1.0,0.5862068965517241,0.5862068965517241,0.6206896551724138,0.896551724137931,0.9689655172413794,1.0
graph_only,profiles,C,precision,20,0.7959565868203344,0.975,0.32762779648888524,0.018447348193697154,1.0,0.03671946885896022,0.16448240165631473,0.7567567567567568,1.0,1.0,1.0
graph_only,profiles,C,Jaccard,20,0.5610326379218966,0.6206896551724138,0.2215214688418877,0.018376722817764167,0.8055555555555556,0.03656097178302385,0.15251213433031616,0.5862068965517241,0.6335365853658537,0.7415362731152205,0.7848723723723724
graph_only,profiles,C,within_pair_coassignment,20,0.6056650246305418,0.4876847290640394,0.21974340756798874,0.3866995073891626,1.0,0.4077586206896552,0.4110837438423645,0.4482758620689655,0.8041871921182266,0.9379310344827587,1.0
graph_only,profiles,D,retention,20,0.9816993464052288,0.9901960784313726,0.027370596675247282,0.8888888888888888,1.0,0.9447712418300653,0.9477124183006536,0.9787581699346405,1.0,1.0,1.0
graph_only,profiles,D,precision,20,0.44794766668853087,0.3709532374100719,0.24087696274562745,0.2217391304347826,0.9802631578947368,0.23487790815980464,0.2590130524325965,0.29214801639415233,0.47205203381906025,0.8825883575883577,0.9797564011379801
graph_only,profiles,D,Jaccard,20,0.4387055389828192,0.3704856563626904,0.22482426575507355,0.2217391304347826,0.9551282051282052,0.2341818243288931,0.2585352166872425,0.29214801639415233,0.47205203381906025,0.8004631688157702,0.9307692307692308
graph_only,profiles,D,within_pair_coassignment,20,0.9648821809425525,0.9804781561747506,0.051063937667866474,0.7951496388028896,1.0,0.8936790505675954,0.9001031991744066,0.9580968352253182,1.0,1.0,1.0
graph_only,profiles,E,retention,20,0.8884408602150538,0.9112903225806451,0.1357082048743526,0.6397849462365591,1.0,0.6448924731182796,0.65,0.8561827956989247,1.0,1.0,1.0
graph_only,profiles,E,precision,20,0.7625782892510011,0.7657738095238096,0.2117275620183067,0.32013769363166955,0.9940119760479041,0.5369746266170673,0.5502515537141166,0.5809845288326301,0.9711397913759883,0.9778778497044751,0.9895401709949085
graph_only,profiles,E,Jaccard,20,0.7048467261607441,0.7416358784893268,0.22051847556233303,0.32013769363166955,0.9840425531914894,0.41407026496327365,0.4221830985915493,0.47887323943661975,0.8850411368735975,0.9380646688942094,0.9693591957224017
graph_only,profiles,E,within_pair_coassignment,20,0.8352978785236849,0.8369950595757047,0.18058383637915787,0.5358907294391165,1.0,0.5365533275210694,0.5422377215925603,0.7580354548096483,1.0,1.0,1.0
graph_only,profiles,F,retention,20,0.7983180428134558,0.918960244648318,0.20085083418562397,0.47706422018348627,0.9847094801223242,0.4857798165137615,0.49999999999999994,0.5558103975535168,0.9525993883792049,0.970948012232416,0.9847094801223242
graph_only,profiles,F,precision,20,0.5003757919249637,0.5385468379020073,0.16363199052852223,0.14095744680851063,0.7389162561576355,0.14407513707217576,0.2309496720268625,0.4425679493699497,0.6133520200365151,0.6365245642425665,0.6537516583193641
graph_only,profiles,F,Jaccard,20,0.45043919944190336,0.47989288307915756,0.16876584956911572,0.12268518518518519,0.6928406466512702,0.1259804131054131,0.22683591693477625,0.3413558930170427,0.5816441441441441,0.6283451704545455,0.6321029698325635
