month,ARI,NMI,K,seed,adjacent_ARI,adjacent_NMI,same_label_share
2024-02-01,0.01541891788690616,0.09827180170217299,8,12,0.049829419954709984,0.149808448964598,0.0546218487394958
2024-03-01,0.30538151188604584,0.47094139230322996,9,12,0.1249684408553049,0.25682818911471295,0.7037815126050421
2024-04-01,0.42236436330547467,0.4962154833593994,9,12,0.9869628760839563,0.9701936470366447,0.9942226890756303
2024-05-01,0.5473151714742212,0.5405260635097481,10,12,0.9480412853846067,0.9071721085890254,0.9800420168067226
2024-06-01,0.5599523705913702,0.5416545018404713,11,12,0.9670960669749967,0.9500648926924152,0.9837184873949579
2024-07-01,0.019695477843497865,0.05982928197897651,10,12,0.036553748245494594,0.1287639509998079,0.052521008403361345
2024-08-01,0.6013450565239237,0.5787193760238495,10,12,0.05557823908286361,0.16620112175419202,0.634453781512605
2024-09-01,0.6087390097674944,0.5950189513460388,9,12,0.9862762963117221,0.9693394839257125,0.9921218487394958
2024-10-01,0.600577730421748,0.5977372585008964,9,12,0.9553152488724032,0.9158889153392017,0.9852941176470589
2024-11-01,0.594358260211063,0.5889120085849879,9,12,0.9836340929241225,0.9653458287048745,0.9947478991596639
2024-12-01,0.594358260211063,0.5889120085849879,9,12,1.0,1.0,1.0
2023-01-01,0.6889170038368052,0.7404155638672342,7,13,,,
2023-02-01,0.6889170038368052,0.7404155638672342,7,13,1.0,1.0,1.0
2023-03-01,0.6620250898283822,0.7179291711304003,7,13,0.9083271016071961,0.8812839153902243,0.957983193277311
2023-04-01,0.6502705838955966,0.7210963544574687,7,13,0.9349246323016397,0.9064100119698614,0.970063025210084
2023-05-01,0.6242289477745305,0.7378477767427479,7,13,0.9008935933315311,0.8835975956667439,0.9590336134453782
2023-06-01,0.6019275390667795,0.7309243008193483,8,13,0.9548779480069409,0.9304344808367417,0.9742647058823529
2023-07-01,0.5442736069964671,0.7130863481279314,8,13,0.9098732630084905,0.9004608106783221,0.9564075630252101
2023-08-01,0.48993436538806934,0.6910484356740517,8,13,0.8490935411300045,0.8747409895683269,0.9285714285714286
2023-09-01,0.4885341609966784,0.6713592721919056,9,13,0.8050686765764448,0.8565335448719131,0.9122899159663865
2023-10-01,0.5374406023322631,0.6659220493964183,9,13,0.6917324070638168,0.80923352652114,0.8676470588235294
2023-11-01,0.4939388821285477,0.65147849354984,9,13,0.6581642630947739,0.8051530003591924,0.8476890756302521
2023-12-01,0.4559730093827984,0.6618964111389852,9,13,0.7754447926750241,0.8384030700466245,0.8881302521008403
2024-01-01,0.40837171073099193,0.6393106370373751,9,13,0.9104092205975124,0.8931206390190117,0.9516806722689075
2024-02-01,0.4354359743123849,0.6467294044048791,9,13,0.8865905053005033,0.8822562750670796,0.944327731092437
2024-03-01,0.4949059481886181,0.6648307120456427,8,13,0.8957102716331894,0.9033810704638657,0.9564075630252101
2024-04-01,0.5345806949330156,0.669702932094852,9,13,0.8404629947227513,0.8621515822381582,0.9285714285714286
2024-05-01,0.5247089076354698,0.6743087263934737,9,13,0.7771482906748967,0.8287260715512236,0.9017857142857143
2024-06-01,0.49547219354264055,0.647726694934324,9,13,0.762284146270685,0.8362002736047527,0.9044117647058824
2024-07-01,0.5219289267291528,0.6547704841764441,9,13,0.750881640488439,0.8357010174366202,0.8970588235294118
