pair,cross_coassignment,seed
C/E,0.0389321468298109,22
C/F,0.13170937467046293,22
C/G,0.1710201893871717,22
D/E,0.3763440860215054,22
D/F,0.5749235474006116,22
D/G,0.017616580310880828,22
E/F,0.21636907697872482,22
E/G,0.006629895815922893,22
F/G,0.42127362900286797,22
A/B,0.014184397163120567,23
A/C,0.031792614331132306,23
A/D,0.02127659574468085,23
A/E,0.01422252726302143,23
A/F,0.032771596503784674,23
A/G,0.0006614485723734979,23
B/C,0.0,23
B/D,0.0,23
B/E,0.9946236559139785,23
B/F,0.0,23
B/G,0.0,23
C/D,0.0,23
C/E,0.0,23
C/F,0.04703153010650638,23
C/G,0.03626943005181347,23
D/E,0.005376344086021506,23
D/F,0.9235474006116208,23
D/G,0.025906735751295335,23
E/F,0.004965308605438821,23
E/G,0.0001392835255445986,23
F/G,0.03596520416409184,23
A/B,0.9266174554928355,24
A/C,0.6456346294937637,24
A/D,0.9300514532053956,24
A/E,0.9361702127659575,24
A/F,0.9104040601210228,24
A/G,0.9303494653290707,24
B/C,0.6826178747361014,24
B/D,0.9833266639989329,24
B/E,0.9897959183673469,24
B/F,0.9625538288709979,24
B/G,0.983641746854182,24
C/D,0.6851476222672978,24
C/E,0.6896551724137931,24
C/F,0.6713065485605821,24
C/G,0.6855815615508308,24
D/E,0.9934640522875817,24
D/F,0.9661210049769143,24
D/G,0.9872870737241356,24
E/F,0.9724770642201835,24
E/G,0.9937823834196892,24
F/G,0.9665605045079305,24
A/B,0.0,25
A/C,0.011005135730007337,25
A/D,0.0004635423909516525,25
A/E,0.012964233966292992,25
A/F,0.05326739974407357,25
A/G,0.006445448866350641,25
B/C,0.0,25
B/D,0.0,25
B/E,0.08602150537634409,25
B/F,0.0,25
B/G,0.0,25
C/D,0.0,25
C/E,0.0,25
C/F,0.008014341453126649,25
C/G,0.09930319814186171,25
D/E,0.023894862604540025,25
D/F,0.06188163338729987,25
D/G,0.00027092011243184667,25
E/F,0.0,25
E/G,0.0,25
F/G,0.04442965568601353,25
A/B,0.0,26
A/C,0.015651748593788213,26
A/D,0.008529179993510407,26
A/E,0.015099519560741249,26
A/F,0.07014119331121088,26
A/G,0.0051739977216771395,26
B/C,0.0,26
B/D,0.0,26
B/E,0.27956989247311825,26
B/F,0.0,26
B/G,0.0,26
C/D,0.007212080234392608,26
C/E,0.0,26
C/F,0.26067700094906676,26
C/G,0.08783276755404681,26
D/E,0.01402066202825216,26
D/F,0.024644720273430475,26
D/G,0.0023840969894002506,26
E/F,0.006658774785439479,26
E/G,0.0,26
F/G,0.1186861244474022,26
A/B,0.0,27
A/C,0.1012472487160675,27
A/D,0.007184907059750614,27
A/E,0.012849843666590406,27
A/F,0.09209013815689591,27
A/G,0.0010142211443060303,27
B/C,0.0,27
B/D,0.0,27
B/E,0.0913978494623656,27
B/F,0.0,27
B/G,0.0,27
C/D,0.0,27
C/E,0.0,27
C/F,0.11019719498049141,27
C/G,0.13528676076469537,27
D/E,0.017112938365310283,27
D/F,0.3199216485778817,27
D/G,0.0,27
E/F,0.0017427904376705798,27
E/G,0.0,27
F/G,0.27065646242334934,27
A/B,0.0,28
A/C,0.0,28
A/D,0.07676261994159365,28
A/E,0.010714558072142149,28
A/F,0.06038128700631141,28
A/G,0.0,28
B/C,0.0,28
B/D,0.0,28
B/E,0.6075268817204301,28
B/F,0.0,28
B/G,0.0,28
C/D,0.0,28
C/E,0.0,28
C/F,0.134134767478646,28
C/G,0.15143827050205466,28
D/E,0.012755639890364748,28
D/F,0.47970258439767344,28
D/G,0.0,28
E/F,0.002762158429515636,28
