archetype,n_reference,destination,destination_n,intersection,retention,precision,Jaccard,within_pair_coassignment,n_destinations,seed
C,29,3,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4236453201970443,4,37
D,153,13,448,153,1.0,0.3415178571428571,0.3415178571428571,1.0,1,37
E,186,11,282,184,0.989247311827957,0.6524822695035462,0.647887323943662,0.9786108689334496,2,37
F,327,12,1147,177,0.5412844036697247,0.1543156059285091,0.1364687740940632,0.4963321513667661,3,37
G,965,12,1147,963,0.9979274611398964,0.8395815170008718,0.8381201044386423,0.9958570722163697,3,37
A,141,10,319,137,0.9716312056737588,0.4294670846394984,0.4241486068111455,0.9439716312056736,4,38
B,98,1,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,38
C,29,7,29,27,0.9310344827586208,0.9310344827586208,0.8709677419354839,0.8669950738916257,2,38
D,153,8,200,150,0.9803921568627452,0.75,0.7389162561576355,0.9611283109735124,3,38
E,186,5,177,169,0.9086021505376344,0.9548022598870056,0.8711340206185567,0.8320836965998256,3,38
F,327,10,319,179,0.5474006116207951,0.5611285266457681,0.3832976445396145,0.4074595223354158,4,38
G,965,9,1059,961,0.9958549222797928,0.9074598677998112,0.9040451552210724,0.9917248941156236,4,38
A,141,11,1877,132,0.9361702127659576,0.0703249866808737,0.0699893955461293,0.8788247213779129,3,39
B,98,11,1877,96,0.979591836734694,0.0511454448588172,0.0510910058541777,0.9596044603408374,2,39
C,29,11,1877,25,0.8620689655172413,0.0133191262653169,0.0132908027644869,0.7463054187192119,3,39
D,153,11,1877,152,0.9934640522875816,0.0809802876931273,0.080937167199148,0.9869281045751634,2,39
E,186,11,1877,186,1.0,0.0990942994139584,0.0990942994139584,1.0,1,39
F,327,11,1877,323,0.9877675840978594,0.1720831113478955,0.1717171717171717,0.975685259188383,3,39
G,965,11,1877,962,0.9968911917098444,0.512519978689398,0.5117021276595745,0.9937909831659966,3,39
A,141,8,135,126,0.8936170212765957,0.9333333333333332,0.84,0.8085106382978723,2,40
